@/Si	㘶㊀
ren	㈥
ren/bo	㈥䖓
ren/dir	㈥㈦
ren/kot	㈥㞈
rend	䐤
renz	㘄
rez	䔙
ri/CIG	ㄢ㕴
ri/x/li	ㄢべ㊄
ri/x/renJ	ㄢべ㥃
ri/zIn	ㄢ㤑
riC	㙈
riCt	䈖
riT	䤇
ril	䠥
ro/dr^/nR	㑑㌵㈱
ro/lIG	㑑㈨
ro/li/po/li	㑑㊄䅴㊄
ro/mIG	㑑㙴
ro/vR	㑑㉓
rod	㥩
rol	㍙
rold	㐳
rolz	䉲
ror	匦
rost	䤸
rul	儘
rum	ㄦ
rus/tR	䆔ㄔ
rx/hab	㘩剁
rx/l@ks	㘩㘰
rx/mEm/bR	㘩㦂㌂
rx/mEm/bRz	㘩㦂䘄
rx/mYnd	㘩䕴
rx/mYndz	㘩㤔
rx/mot	㘩䔣
s@/lId	〇㍑
s@/mi	〇〈
s@/myu/xl	〇䄷㝔
s@/tIs/fY	〇㡂䝸
s@/tIs/fY/IG	〇㡂䝸と
s@d	䌲
s@l/ve/SIn	䞕䞖㥁
s@m/px/lIG	分㔑㈨
s@m/pxl	分㜦
s@n/dwIC	㡡㡢
s@n/tx	㡡ㄱ
s@nd/m@n	写䀓
s@t	㙦
sE/kxnd	㍷㑰
sE/kxndz	㍷䥱
sE/lx/ri	㍷㘀ㄢ
sE/sx/mi	㍷㡇〈
sE/txl	㍷ぢ
sE/txld	㍷䈳
sE/vIn	㍷㍸
sE/vIn/tin	㍷㍸䙧
sEd	え
sElf	㔨
sEn/dIG	䙴ぴ
sEn/tI/pid	䙴㚇倄
sEn/tR	䙴ㄔ
sEnd	㍢
sEns	偐
sEnt	㤙
sEt	㜷
sEz	㥱
sI/li	㊃㊄
sI/li/wI/li	㊃㊄㠃㊄
sI/ri/xl	㊃ㄢ㝔
sI/ri/xlz	㊃ㄢ㡦
sI/tIG	㊃〠
sI/ti	㊃〄
sI/vI/lYzd	㊃㡘偹
sIG	ㅩ
sIG/IG	ㅩと
sIGk	䔑
sId/niz	䎉䎐
sIk	䄕
sIks	㍹
sIks/tin	㍹䙧
sIl/vR	䠤㉓
sIl/vR/wer	䠤㉓ㄒ
sIn/drom	䉇劇
sIns	䄑
sIp	䀐
sIps	傂
sIs/tR	䕄ㄔ
sIs/txm	䕄䕅
sIt	〩
sIts	㙀
sR	ㅓ
sR/i	ㅓ〙
sR/kxl	ㅓㅔ
sR/kxlz	ㅓ㆓
sR/kxs	ㅓ䕢
sR/kyx/lR	ㅓ㍈㖕
sR/prY/zIG	ㅓ䆕㑔
sR/prYzd	ㅓ䔨
sR/txn/li	ㅓ㕄㊄
sR/vIs	ㅓ傃
sRCt	剙
sRv	䘹
sRvd	兰
sW/R	㤓㑥
sWnd	㈠
sWndz	㠔
sYd	㈓
sYd/wck	㈓し
sYn	䙹
s^/dxn/li	㙵䙱㊄
s^/kIG	㙵へ
s^/kR	㙵つ
s^/mR	㙵㌶
s^/mR/sclt	㙵㌶㙶
s^/mw^n	㙵㤷
s^/mwat	㙵䜥
s^/mwer	㙵䐸
s^/ni	㙵㈕
s^C	こ
s^b	先
s^k	䑣
s^ks	偗
s^m	ㄸ
s^m/TIG	ㄸ㈀
s^m/TIGz	ㄸ㔵
s^m/b^/di	ㄸ㒔㈷
s^m/hW	ㄸ㍉
s^m/ples	ㄸ㖑
s^m/tYmz	ㄸ䜆
s^m/w^nz	ㄸ䀖
s^n	䀰
s^n/SYn	䀰䤂
s^n/gl@/sIz	䀰䁁㜁
s^nz	傓
s^p/lx/mInt	䠔㘀䄶
sa/ki	ㄡ〴
sa/nIk	ㄡ㐈
sa/ri	ㄡㄢ
sak	㚐
saks	㜄
sc	㐸
sc/gi	㐸〆
scG	䀢
scf/tIst	䜱䌘
scft	䄱
scft/li	䄱㊄
scl/sx	㤕㡇
scrt	倈
scrts	㖂
scs	㝱
se	ふ
se/IG	ふと
se/vIG	ふ㉕
sef	儓
sem	㕇
sev	䑈
sevd	儉
si	ゔ
si/IG	ゔと
si/g^lz	ゔ䖘
si/mIG/li	ゔ㙴㊄
si/sc	ゔ㐸
si/zInz	ゔ㢀
sid	䚑
sidz	䚓
sil	㙠
silz	㙡
sim	兙
simz	䄡
sin	䠙
sinz	匄
sit	㠥
sits	䅒
siz	䉁
sk@m/pR	䦙㌴
skE/JUl	㥄㥅
skEl/tR	刷ㄔ
skR/ri	倀ㄢ
skY	䄅
skcr/pi/In	䆖㐦㄀
skel	儠
sker	㘤
skerd	㑉
skord	䡃
skr@/CIG	㕳㕴
skr@C	䑥
skr@Ct	䡣
skr^/bi	儅゙
skr^b	児
skr^m/pSIs	兲关
skre/pIG	䒗㐀
skri/mIG	㠰㙴
skrim	䜁
skrin	䔦
skul	䅑
skul/hWs	䅑䍵
skup	䠑
skut	䡷
skw/Rrxl	䆈䆉
skwI/Si	充㊀
skwIS	傇
skwISt	傈
skwR/mIG	㦔㙴
skwR/mi	㦔〈
skwR/rxlz	㦔㦕
skwR/tIG	㦔〠
skwR/x/li	㦔べ㊄
skwR/x/liz	㦔べ㠒
skwRm	䐣
skwaS	㝰
skwc/Si	㝸㊀
skwc/Siz	㝸㆐
skwer	㎃
skwi/kR	䕹つ
skwi/ki	䕹〴
skwik	䍉
skwiks	䐓
skwiz	䑧
sl@pt	䔔
slI/pR	䉄㌴
slI/pRz	䉄㜂
slI/px/ri	䉄㔑ㄢ
slIG/ki	䅕〴
slIp	㥘
slR/pIG	䑅㐀
slY/dIG	䌄ぴ
slY/mi	䌄〈
slYd	䁩
sl^m/bR	偕㌂
sl^m/bRz	偕䘄
sla/bx/rIG	䔴ㆁ㙖
sla/pIG	䔴㐀
slaS	偨
slab	䢀
slat	儩
sli/pIG	㎙㐀
sli/pR	㎙㌴
sli/pi	㎙㐦
sli/piz	㎙㔠
slip	㠘
slit	㠕
sliv	㔹
slivz	䙸
slo	㠖
slo/li	㠖㊄
sm@/SIG	倨㝇
sm@k	冀
smE/lIG	䦇㈨
smEl	䝘
smElz	㔙
smY/lIG	㤸㈨
smY/li	㤸㊄
smYl	䈷
smYld	䈢
sm^S	䙕
sm^St	䙖
smart	䙀
smc/lR	㖔㖕
smcl	䖗
smok	䤕
smu/DR	䍂ㅉ
sn@/pi	䜈㐦
sn@C	䔰
sn@Ct	兤
sn@k	㠧
sn@ks	偰
sn@p	㎀
sn@ps	㑠
sn@pt	㚈
sn^/gxl	䎔㎇
sn^g	䂕
sncr/tIG	㈙〠
sne/ki	儹〴
sni/ki	䥶〴
sniz	㕁
sno	䜐
sno/IG	䜐と
sno/i	䜐〙
sno/m@n	䜐䀓
sno/sut	䜐儴
snups	䘶
so	㈈
so/IG	㈈と
so/IG/mx/Sin	㈈と㡵䊃
so/dx	㈈㢈
so/fx	㈈䕸
so/kIG	㈈へ
sold	剑
sop	䀆
spE/Sxl	㍃䑦
spEk/trxm	匙䔠
spEnd	値
spI/lIG	䌉㈨
spI/nIG	䌉ㆉ
spI/rIt	䌉䁄
spI/tIG	䌉〠
spIl	儙
spIld	億
spIn	䁤
spInz	儂
spIt	䌓
spWt	䀨
spY/IG	䀧と
spY/dR	䀧㎓
sp^d	ゖ
spat	䔉
spats	䠱
spes	冉
spi/kIG	䜘へ
spidz	倅
spik	䌥
spl@S	䂑
spl@St	䡠
splI/Si/spl@/Si	䡇㊀䡈㊀
splIS/spl@S	偲䂑
splIt	䜨
spok	剅
sprEd	䢘
sprIG	䍢
sprIGz	䉡
spre	儑
spun	㔂
spun/fxlz	㔂䥂
spunz	傁
spx/gE/ti	倢㙧〄
st@k	㍱
st@kt	兄
st@n/dIG	びぴ
st@n/dpOnt	び刓
st@nd	㌦
st@ndz	䔈
stE/di	䔐㈷
stE/ri/o	䔐ㄢ】
stEd/f@st	䌑㚓
stEp	䁧
stEps	㖖
stEpt	䜔
stI/kIG	䚆へ
stI/ki	䚆〴
stIG/kR	㠠つ
stIG/ki	㠠〴
stIGk	偔
stIk	䄆
stIks	䈉
stIl	㍗
stIn/Ji	劁㜴
stUd	㖈
stY/lIG	冒㈨
stYl	㡲
st^/di/IG	䌇㈷と
st^/fi	䌇㌖
st^/mxk	䌇䌈
st^f	を
st^ft	㘵
st^k	㝄
stam/pIG	䒕㐀
stamp	䄁
stap	䍣
staps	䙵
stapt	䔕
star	㎅
star/tIG	㎅〠
star/tId	㎅㈑
star/vIG	㎅㉕
start	㝆
starts	䥗
starz	㍨
ste	㘂
ste/IG	㘂と
ste/rIG	㘂㙖
sted	䡶
stek	劄
sten	䉒
sterz	ん
stil	㞕
stir	㜹
sto/ri	䁃ㄢ
stor	㡄
str@p	㎈
str@pt	㝶
strE/CIG	䈓㕴
strE/CIz	䈓㘳
strEGk/Tx/nIG	䕗䕘ㆉ
strEGkT	䝣
strIG	䑢
strIGz	䙣
strYpt	㍧
strc/bE/ri	偶ㄓㄢ
strcG	㎖
strenJ	䊓
stret	㥥
strim	偠
strit	㥲
strit/lYt	㥲㖗
stro/lR	䘑㖕
stu	㆑
stu/pId	㆑㆒
su/pR/m@n	劐㌴䀓
sun	䄀
sus	䍦
sut	儴
swE/tR	䀇ㄔ
swE/tSRt	䀇䀈
swEt/p@nts	㜙㑈
swI/mIG	刵㙴
swIC	䚂
swIG	䈙
swIG/IG	䈙と
swIGz	䙔
swIS	䁱
swIm	䂃
swIm/sut	䂃儴
swUS	䈈
swa/lo	䌐ㄉ
swi/pIG	㐙㐀
swi/tIst	㐙䌘
swi/t^mz	㐙剡
swi/ti	㐙〄
swi/ti/Est	㐙〄剣
swi/ti/pY	㐙〄㘖
swi/ti/pYz	㐙〄剩
swip	䙩
swit	㡅
swit/hart	㡅㤥
swits	刨
sx/pozd	㡇㡈
sx/spEn/dRz	㡇䘢䁲
sxk/sEs/fx/li	刕刖䕸㊄
sxs/pEn/dR	䖂㢅㎓
t@/bI/Tx	㝹㒃䕘
t@/bI/Txz	㝹㒃䥤
t@/nIS	㝹㞂
t@/pi/o/kx	㝹㐦】㔧
t@G/gxld	䡰䡱
t@Gk	䐉
t@d	䕁
t@g	傑
t@k/si	䑤ゔ
t@m/bx/rin	䐘ㆁ䐙
t@n/Jx/rinz	㠷㠸㠹
t@n/trxm	㠷䔠
t@p	䦈
t@z	偖
tE/di	㒓㈷
tE/lIG	㒓㈨
tE/lx/fon	㒓㘀㊓
tE/lx/fonz	㒓㘀㙕
tE/lx/t^/bi	㒓㘀䄃゙
tE/lx/t^/biz	㒓㘀䄃㔗
tE/nIs	㒓䉦
tE/ri	㒓ㄢ
tE/rx/bxl	㒓㘩㌆
tEk/nI/kxl	䚙㘷ㅔ
tEl	䁂
tEn	㍦
tEnt	䑵
tEr	䁰
tErz	䐥
tI/Su	㚇ぉ
tI/di/wIG/kxl	㚇㈷䉈ㅔ
tI/gR	㚇㍔
tI/gRz	㚇䉗
tI/ki	㚇〴
tI/klR/	㚇䜃
tI/kx/lIG	㚇㔧㈨
tI/kxl	㚇ㅔ
tI/kxl/I	㚇ㅔ㉈
tI/kxl/IS	㚇ㅔ䑙
tI/kxl/tI/kxl	㚇ㅔ㚇ㅔ
tI/kxlz	㚇㆓
tI/mi	㚇〈
tI/miz	㚇ㄗ
tI/mon	㚇匂
tI/mx/Ti	㚇㡵䙉
tI/pIG	㚇㐀
tI/pi/to	㚇㐦㙆
tIG/ki	〠〴
tIlt	偸
tIm	䅐
tIm/bR	䅐㌂
tImz	䥃
tIp	䍶
tIp/toz	䍶㔒
tIpt	䜰
tO	㍁
tO/baks	㍁㉸
tO/lIt	㍁㈢
tOz	ㅄ
tR/ki	ㄔ〴
tR/nIG	ㄔㆉ
tR/txlz	ㄔ䆘
tRn	㍡
tRnd	㙥
tSI@/rI/@U	䡡㕸䡢
tUS	倔
tUk	㎉
tUt/si	䢓ゔ
tUt/siz	䢓䉁
tW/R	䅇㑥
tW/Rz	䅇㜨
tWl	ぶ
tWlz	䊄
tWn	䁥
tY	㞐
tY/gR	㞐㍔
tY/mIG	㞐㙴
tY/ni	㞐㈕
tY/pIG	㞐㐀
tY/ris	㞐䡥
tYd	剂
tYm	㉁
tYmz	䜆
tYrd	㈵
tYt	㍒
t^/CIG	䄃㕴
t^/Ci	䄃㞓
t^/mi	䄃〈
t^/pR/wer	䄃㌴ㄒ
t^C	䀶
t^Ct	䈤
t^G	䄇
t^b	㌣
t^f	䖕
t^g	㜢
t^k	䥷
t^m/bx/lIG	䆗ㆁ㈨
t^m/bxld	䆗䈕
t^nz	偅
tam	䥵
tap	㌹
tarts	㡥
tc/kIG	ぷへ
tc/kR	ぷつ
tc/kx/tIv	ぷ㔧䍘
tc/sIz	ぷ㜁
tck	㠆
tcl	㍲
tct	䌦
te/bxl	㌩㌆
te/bxl/klcT	㌩㌆㝓
te/kIG	㌩へ
te/stIG	㌩㠠
te/tRz	㌩䀅
tek	ゐ
teks	㎁
tel	䜦
telz	䉠
tep	㕷
tep/mE/sUr	㕷㘓剥
tept	䝉
tes/ti	ㅈ〄
test	䊔
tests	䙃
ti	〄
ti/DIG	〄ゅ
ti/Tiz	〄䢑
ti/ni	〄㈕
ti/ni/wi/ni	〄㈕ㅁ㈕
ti/pi	〄㐦
ti/piz	〄㔠
tiC	䝲
tiT	䄨
tim	䤧
tin/si	䙧ゔ
to	㙆
to/sti	㙆偳
to/tx/li	㙆ㄱ㊄
told	䐄
tord	儈
tordz	䝰
toz	㔒
tr@/fIk	㥡㥢
tr@S	䔩
trIk	㌸
trIp	㞙
trY	㍠
trY/@G/gxl	㍠㎆㎇
trY/@G/gxlz	㍠㎆䉅
trY/IG	㍠と
trYd	䐧
tr^/bxl	㜥㌆
tr^Gk	䈘
tr^k	䤃
tr^st	偷
tre	䀒
tre/nIG	䀒ㆉ
tren	㦗
tri	䈗
tri/tap	䈗㌹
trit	䘲
triz	䎇
tru/li	䒐㊄
truT	列
trx/piz	䕡㔠
tu	ら
tu/@nd/fro	らㄷ㤐
tu/Ti	ら䙉
tu/nx	ら〖
tuT	䄰
tuT/br^S	䄰䄧
tul	䘉
tulz	䘃
tut	䥔
twElv	䢙
twEn/ti	㚁〄
twI/stIG	䔲㠠
twIG/kxl	䢆ㅔ
twIs/tR	䖃ㄔ
twIs/ti	䖃〄
twY/IG	䝓と
twi/ti	䥰〄
twit	䥥
tx/de	ㄱㄶ
tx/gE/DR	ㄱ㙧ㅉ
tx/ma/ro	ㄱぅ㑑
tx/ma/roz	ㄱぅ䂖
tx/nYt	ㄱ㝩
u	㠩
up	䀕
up/si	䀕ゔ
ups	㞇
v@/kyum	䑸䑹
vE/ri	ㆅㄢ
vEJ/tx/bxl	㔃ㄱ㌆
vEJ/tx/bxlz	㔃ㄱ㔈
vEl/kro	䐡䐢
vEnt	䔳
vI/di/o	㡘㈷】
vI/nx/gR	㡘〖㍔
vI/zI/tIG	㡘㙰〠
vI/zIt	㡘㝁
vOs	㑕
vY/tx/mIn	刦ㄱ䥸
v^z	割
vi	ゃ
vi/I/kxl	ゃ㉈ㅔ
viz	䒑
vol	䈀
vrum	䤑
vx/rY/I/ti	㦇㠶㉈〄
w@/w@/w@	䁴䁴䁴
w@g	䥉
wE/DR	䜗ㅉ
wEb	䈁
wEl	ㆇ
wEl/kxm	ㆇ㝴
wEn	㍅
wEnt	ㅘ
wEnz/de	䡹ㄶ
wEt	㑃
wEw	儱
wI/DWt	㠃㠄
wI/SIz	㠃㝙
wI/gxl	㠃㎇
wI/gxlz	㠃䉅
wI/li	㠃㊄
wI/mIn	㠃䥸
wI/ni	㠃㈕
wI/spRd	㠃䈶
wI/spx/rIG	㠃倢㙖
wIC	㒐
wID	ㄤ
wIG/ki	䉈〴
wIG/kxl	䉈ㅔ
wIS	㤆
wIl	ㅢ
wIn	㐖
wIn/di	㐖㈷
wIn/do	㐖〵
wIn/doz	㐖䁨
wIn/tR	㐖ㄔ
wInd	㠇
wInd/Sild	㠇㠈
wIt/ni	䘘㈕
wR	㐶
wR/SIp	㐶䝶
wR/kIG	㐶へ
wR/krum	㐶䉹
wR/ri	㐶ㄢ
wRdz	䔇
wRk	ㅙ
wRks	㢐
wRkt	䜂
wRld	䌅
wRnt	㑦
wU/dxnt	㌇㌈
wU/li	㌇㊄
wU/mxn	㌇䚈
wU/pi	㌇㐦
wUd	㌄
wUf	健
wUf/wUf	健健
wUlf	倳
wUp/si	㥆ゔ
wUp/sx/de/zi	㥆㡇ㄶ㑤
wW	㍣
wY	㉹
wY/li	㉹㊄
wY/ni	㉹㈕
wY/ni/nEs	㉹㈕䀙
wY/pIG	㉹㐀
wY/pRz	㉹㜂
wYd	㆖
wYf	儦
wYl	㒖
wYld	䂄
wYn/dR	刹㎓
wYp	㕢
wYps	㑒
wYr	䐗
wYrz	兀
wYt	㉐
w^/ni	㍳㈕
w^/tId	㍳㈑
w^/zInt	㍳㉉
w^/zi	㍳㑤
w^n	ㆆ
w^n/dR	ㆆ㎓
w^n/dR/fxl	ㆆ㎓䁡
w^n/si	ㆆゔ
w^n/tIG	ㆆ〠
w^n/tId	ㆆ㈑
w^ns	䝁
w^nt	ㅹ
w^nts	〉
w^nz	䀖
w^t	〣
w^t/E/vR	〣ㄐ㉓
w^ts	〔
w^z	〤
wa/CIG	぀㕴
wa/CIz	぀㘳
wa/nx	぀〖
waC	㕱
waCt	㉳
wan/dRd	入䐃
wan/dx/rIG	入㢈㙖
wc/SIG	ㄩ㝇
wc/kIG	ㄩへ
wc/kR	ㄩつ
wc/ki	ㄩ〴
wc/rir	ㄩ䠘
wc/tR	ㄩㄔ
wc/tR/fcl	ㄩㄔ㑗
wc/tR/mE/lxn	ㄩㄔ㘓䌂
wc/tRz	ㄩ䀅
wc/tx/ri	ㄩㄱㄢ
wcS	㊐
wcS/klcT	㊐㝓
wcS/klcTs	㊐䊅
wcSt	䀩
wck	し
wckt	䕣
wcl	䎅
wcr	㜣
wcr/mIG	㜣㙴
wcr/mR	㜣㌶
wcr/nIG	㜣ㆉ
wcrm	㝲
wcrmd	䌀
we	㉔
we/kIG	㉔へ
we/rE/vR	㉔㈶㉓
we/rIG	㉔㙖
we/stIG	㉔㠠
we/tIG	㉔〠
we/vIG	㉔㉕
wek	䅠
wel	䂇
wer	ㄒ
werd	䄴
werz	㄃
west	䡙
wet	㠐
wev	㤹
wevz	䂒
wez	㘔
wi	ㅁ
wi/kEnd	ㅁ䊑
wi/vIG	ㅁ㉕
wi/wi	ㅁㅁ
wi/wi/wi/wi	ㅁㅁㅁㅁ
wi/wiz	ㅁ䜅
wiks	剤
wil	㊒
wilz	䁇
win/si	䀦ゔ
wir	ょ
wird	䜖
wit	㔓
wiv	㑂
wo	ㄖ
wo/sut	ㄖ儴
wok	䥲
wont	㈔
wor	刄
wups	㎄
x/bWt	べむ
x/b^v	べ䂆
x/dor	べ㊆
x/fEn/sIv	べ䜢㢆
x/fred	べ䝳
x/gEn	べㄅ
x/gEnst	べ䙈
x/go	べぇ
x/grE/sIv	べ劉㢆
x/gri	べ㔷
x/hEd	べ㈆
x/klak	べㅤ
x/krcs	べ㐴
x/lE/vIn	べ㐄㍸
x/lW	べ䔡
x/lWd	べ㍀
x/lY/Jx	べ䆃㠸
x/lYv	べ䝕
x/lcG	べ㑴
x/li/Sxz	べ㊄䈱
x/lon	べ䐑
x/mE/rI/kx	べ㘓㕸㔧
x/mWnt	べ䙅
x/m^G	べ䥧
x/me/zIG	べ㑁㑔
x/me/zIG/li	べ㑁㑔㊄
x/myu/zIG	べ䄷㑔
x/n^/DR	べ㎕ㅉ
x/pI/nyIn	べ㔱共
x/part	べ䐒
x/pcn	べ䑶
x/pe/rInt/li	べ㌳儧㊄
x/rWnd	べ㎐
x/rYz	べ䠖
x/slip	べ㠘
x/sumd	べ刀
x/t@C	べ䙗
x/t@k	べ䑤
x/t@kt	べ冈
x/tEn/SIn	べ㍦㥁
x/we	べ㉔
xb/sEst	内円
xl/tI/ri/R	㝔㚇ㄢ㑥
xm	㔇
xm/brE/lx	㔇㖙㘀
xm/hxm	㔇㕗
xm/ke	㔇〒
xmz	则
xn/h@/pi	㑱㉱㐦
xn/k^/vx/rIG	㑱ㅥ㦇㙖
xn/lI/mI/tId	㑱ち㄁㈑
xn/plE/zInt	㑱䕵㉉
xn/pl^g	㑱䄤
xn/tIl	㑱㑲
xn/tY	㑱㞐
xn/zIp	㑱㖅
xp/sterz	㒂ん
y@Gk	䑄
yE/lIG	ㅨ㈨
yE/lo	ㅨㄉ
yEl	䍧
yEp	㥑
yEs	㉶
yEs/tR/de	㉶ㄔㄶ
yEt	㉴
yR	〶
yR/lIG	〶㈨
yU/rx/pi/In	㡑㘩㐦㄀
yUr	゗
yUr/sElf	゗㔨
yUrz	䔀
y^/kE/ti/y^k	㌘㡖〄䑆
y^/ki	㌘〴
y^/kx	㌘㔧
y^/mi	㌘〈
y^/my^m	㌘㕐
y^/my^mz	㌘删
y^G	冇
y^k	䑆
y^m	㒁
y^p	㖄
ya	㐡
ya/ya	㐡㐡
ya/ya/ya	㐡㐡㐡
yan/dR	䂈㎓
yard	䑴
yc/nIG	䈂ㆉ
ycn	䉐
ye	㕲
yir	別
yirz	刔
yo/gRt	倵儃
yo/yo	倵倵
yu	〨
yu/Zu/xl	〨䒇㝔
yu/i	〨〙
yu/nIt	〨䉑
yu/zIG	〨㑔
yuZ/u/x/li	㠨㠩べ㊄
yud	䌔
yul	䂙
yur	げ
yus	㘁
yuv	㚙
yuz	䢅
yuzd	倶
zI/pR	㙰㌴
zI/pRz	㙰㜂
zIg/z@/gIG	䈃䈄䈅
zIp	㖅
zIpt	䚇
zev/yR	兦〶
zi	㑤
zi/brx	㑤䈆
zi/ro	㑤㑑
zu	兆
zum	䤔
